# Base  Sugar  Phosphate  Total
 2969.543472  2080.398289  2053.249354  7103.191116
 2897.554366  2111.162832  2021.203915  7029.921112
 2683.603228  2119.381175  2156.868840  6959.853244
 2716.280181  2126.095053  2139.007357  6981.382592
 2996.496288  2237.832470  2049.578619  7283.907377
 2634.032215  2201.412686  2053.180586  6888.625486
 2926.809772  2120.161350  2103.507016  7150.478138
 2953.602240  2114.260429  2026.680079  7094.542748
 3391.740575  1986.119883  1944.442342  7322.302800
 2894.510962  2188.264717  1989.091760  7071.867440
 3098.853588  2183.487695  1935.900654  7218.241937
 3246.403461  1992.160871  2111.302009  7349.866340
 3024.302675  2003.535470  1885.494104  6913.332249
 2856.953194  2150.359424  2132.089838  7139.402456
 2705.236871  2217.248198  2072.473373  6994.958442
 2485.875026  2215.097068  1937.464462  6638.436556
 2456.308269  2177.149536  1942.322426  6575.780231
 3199.573332  2115.462751  2031.841555  7346.877638
 2730.295415  2180.742402  2167.437498  7078.475315
 2087.450334  2389.808971  2076.153383  6553.412688
 2758.597503  2226.314433  2145.418945  7130.330881
 2647.545487  2234.593870  2097.498949  6979.638307
 2444.873437  2245.003451  2019.888478  6709.765365
 2562.424579  2228.657658  2060.391008  6851.473245
 2683.893511  2080.379361  2117.313198  6881.586069
 2797.731081  2161.567718  2080.999983  7040.298783
 2702.022437  2170.257212  2136.434468  7008.714118
 2785.478279  2185.611454  2171.394500  7142.484234
 2722.066987  2132.560952  2191.309729  7045.937669
 2709.108345  2139.608374  1971.949676  6820.666395
 2641.467660  2149.762762  2003.144034  6794.374455
 2760.443245  2220.467749  1996.471064  6977.382059
 2629.309851  2241.348386  1948.120358  6818.778594
 2624.588361  2331.612013  2042.050317  6998.250690
 2824.094999  2094.014480  2101.730518  7019.839997
 3070.646006  2011.771545  2062.680458  7145.098009
 2644.129084  2193.735011  2053.939532  6891.803627
 2791.609523  2126.373650  1882.640719  6800.623893
 2492.425678  2313.606737  2082.989811  6889.022226
 2947.147947  2135.923370  1908.111348  6991.182666
 2696.210608  2225.161407  1942.600957  6863.972972
 2822.774979  2158.457377  1998.609654  6979.842009
 2682.219025  2008.930139  2015.704794  6706.853958
 2894.102819  2074.054702  2148.799651  7116.957171
 2959.060191  2221.349714  2026.740305  7207.150210
 2667.602081  2169.737557  2120.922036  6958.261674
 2829.180149  2152.870740  2078.011802  7060.062690
 2287.675779  2090.401603  1946.987802  6325.065184
 2561.874570  2336.355124  2058.274120  6956.503813
 2851.592148  2200.600806  2042.165136  7094.358090
 2885.680282  2321.124255  1897.793174  7104.597711
 2715.227744  2282.752155  2081.128050  7079.107949
 2935.912188  2133.801796  2003.892372  7073.606356
 2595.618237  2117.893467  1954.193070  6667.704774
 3275.666745  1934.084825  1969.583677  7179.335247
 2492.341331  2205.922841  2008.098347  6706.362519
 2929.459451  2057.144407  2058.507079  7045.110938
 3169.016852  2120.647108  1961.396010  7251.059969
 2946.137856  2179.038685  1998.984311  7124.160853
 2676.054551  2196.427811  2060.046998  6932.529360
 2572.376608  2111.452484  2149.925267  6833.754359
 2849.538987  2087.904311  1996.177531  6933.620829
 2830.311387  2174.250323  1983.703333  6988.265043
 2653.670052  2201.650990  2029.710720  6885.031761
 2806.288758  2056.320892  2078.205044  6940.814695
 2624.715635  2123.928428  2163.678067  6912.322131
 2910.303070  2193.693395  2081.683611  7185.680075
 2541.026700  2187.770487  2123.435087  6852.232275
 2485.864063  2276.111192  2173.248273  6935.223528
 2916.612020  2261.942127  2100.538174  7279.092321
 2579.250726  2205.179137  2007.206970  6791.636833
 3018.787657  2091.954133  1908.277817  7019.019607
 2855.866483  2032.017305  1944.428857  6832.312646
 2905.818713  2209.165138  2058.960767  7173.944618
 2916.924861  2067.707779  1900.771477  6885.404116
 3165.712254  2086.656766  1960.974397  7213.343417
 2525.674474  2190.469686  2049.653844  6765.798005
 2668.720930  2333.425458  1976.123610  6978.269998
 2432.899479  2248.745511  2081.139191  6762.784181
 2858.099148  2223.868817  2006.963514  7088.931479
 2616.626046  2202.860184  2090.379883  6909.866113
 2692.031538  2152.360619  2079.325306  6923.717464
 2632.648679  2281.550163  1968.477449  6882.676292
 2624.464507  2268.855227  2101.009532  6994.329266
 2327.041107  2334.433172  2069.291571  6730.765850
 2912.394295  2186.627709  2012.469012  7111.491015
 2834.521180  2262.823253  2057.457189  7154.801622
 2696.266125  2240.712507  2129.785385  7066.764017
 2641.722811  2180.879331  2092.853074  6915.455216
 2903.128215  2206.123997  1854.182555  6963.434767
 2689.842189  2149.683663  2019.722228  6859.248080
 2228.623992  2051.905588  2089.132593  6369.662173
 2548.917693  2340.870646  2049.945436  6939.733775
 2679.767710  2201.746887  1992.639844  6874.154441
 2646.665707  2271.803168  2094.908223  7013.377098
 2648.159580  2293.099529  2042.497701  6983.756810
 2522.780201  1997.045661  2151.984161  6671.810023
 2341.269173  2185.817143  2058.326627  6585.412943
 2626.737614  2045.258154  2123.952994  6795.948762
 3039.540482  2267.099498  1828.389722  7135.029701
 3629.616570  1990.418673  2019.098184  7639.133428
 3175.985848  1964.447498  1872.162135  7012.595481
 3103.101347  1872.174856  2099.381238  7074.657441
 3215.545840  2010.251845  2034.874853  7260.672537
 2968.749117  2007.020298  1984.605678  6960.375093
 2959.776216  2141.371320  1923.120031  7024.267568
 3021.867450  2005.800813  2148.385157  7176.053420
 3047.060868  2063.672772  1712.964072  6823.697712
 2971.022398  2085.101858  2110.929732  7167.053988
 2857.317353  2022.244615  1975.280155  6854.842123
 3071.430497  2067.384118  2120.151883  7258.966499
 2436.749089  2229.190893  2011.345106  6677.285089
 2821.786457  2268.088240  2080.599248  7170.473944
 2645.382088  2109.470675  2056.658508  6811.511272
 2842.851739  2087.021388  2115.595183  7045.468310
 2916.421639  2145.426904  2022.087354  7083.935897
 2482.365726  2284.021907  2129.973412  6896.361045
 2706.201268  2147.497849  2187.515754  7041.214871
 2606.238192  2229.002084  2170.446993  7005.687269
 2872.410127  2054.963948  2105.837491  7033.211566
 3009.970532  2158.474783  2112.291394  7280.736709
 2808.861656  2040.274082  1973.186408  6822.322146
 3139.741113  2187.124523  2082.777499  7409.643135
 2354.064147  2185.079535  2074.142936  6613.286618
 3169.189842  2106.531804  2003.810378  7279.532024
 2929.983079  2133.639434  1959.447315  7023.069827
 2852.735666  2214.350898  1789.921438  6857.008002
 3160.674280  2043.828544  2002.443456  7206.946281
 3038.446730  2032.416500  1961.277121  7032.140351
 2981.051844  2077.040386  2158.499278  7216.591509
 2531.870369  2258.267582  2000.553370  6790.691321
 2612.790465  2167.513938  2036.701248  6817.005651
 3321.728832  2015.658045  2041.026673  7378.413550
 2827.654755  2089.572073  1851.079455  6768.306282
 2944.507319  2121.471856  2066.200747  7132.179923
 2984.980103  2013.904867  2207.093750  7205.978720
 2652.323110  2114.863466  2123.664970  6890.851546
 3111.508960  2102.995598  2048.154772  7262.659330
 2882.352584  2079.639834  2133.916282  7095.908700
 2872.282187  2115.863533  1845.281230  6833.426950
 2558.666544  2226.631987  2011.581895  6796.880426
 2636.975468  2102.640385  2187.979908  6927.595762
 2786.989476  2334.760769  1918.661542  7040.411787
 2723.766933  2108.535635  1923.668926  6755.971495
 3095.953014  2160.166458  2061.965537  7318.085010
 2756.522695  2098.908943  2167.417788  7022.849425
 3216.030057  2284.993773  1968.036902  7469.060733
 2980.413961  2156.077367  2123.957694  7260.449023
 3148.143653  2093.866024  2013.536796  7255.546473
 2936.720031  2123.473091  2061.082044  7121.275166
 2844.089183  2253.950768  1960.290109  7058.330060
 3219.210948  2132.274831  2015.655390  7367.141169
 3064.789176  1952.916335  1720.648788  6738.354299
 3018.300928  2056.498501  1949.292327  7024.091755
 3085.956446  2173.395331  2026.012693  7285.364470
 2674.800351  1937.652375  2025.089410  6637.542136
 2764.059148  2277.476197  2055.054400  7096.589744
 2966.151356  2316.787274  2099.108514  7382.047144
 2973.835846  2113.007904  2061.402544  7148.246294
 2786.418786  2055.948801  2018.986487  6861.354074
 3094.214326  2015.752271  2071.103159  7181.069755
 2644.424826  2255.216983  1965.510342  6865.152151
 3115.147272  2107.336857  1994.232022  7216.716150
 2949.615727  2138.980729  1981.025871  7069.622327
 2862.864609  2079.600712  1954.853757  6897.319077
 2849.935946  2002.770030  1966.653559  6819.359535
 2769.966789  2136.418986  2149.480333  7055.866109
 2342.935100  2301.437618  2141.619537  6785.992255
 2448.188838  2287.052732  2146.542968  6881.784538
 2325.302951  2330.802952  2191.543034  6847.648936
 2246.403470  2395.123296  2145.691603  6787.218369
 2624.084265  2150.580968  1993.297062  6767.962295
 2492.042341  2089.446342  2200.690932  6782.179615
 2577.375285  2214.805408  2030.952564  6823.133257
 2442.309434  2285.012502  2252.806216  6980.128153
 2893.195940  2071.451388  2128.547238  7093.194566
 2757.897439  2209.324863  1957.463410  6924.685713
 2888.088094  2182.097677  2106.873024  7177.058794
 2585.768729  2152.087663  2065.970837  6803.827230
 2884.461648  2204.290051  2148.077864  7236.829563
 2600.077149  2140.192234  2133.406615  6873.675999
 2684.849297  1974.133050  1961.302216  6620.284562
 2695.314386  2079.159024  2075.991058  6850.464468
 3011.332515  2102.798824  1935.005983  7049.137322
 2688.939652  2172.419131  2209.883573  7071.242356
 2723.432399  2227.930500  1954.342810  6905.705709
 3136.723567  2019.206266  1958.017126  7113.946959
 2615.977968  2123.455964  2070.315830  6809.749761
 2504.440501  2229.678404  2061.684209  6795.803113
 2826.966577  2090.779462  1973.315230  6891.061269
 2607.086649  2206.217305  2078.836163  6892.140117
 2766.878588  2192.794498  2130.748708  7090.421794
 2203.342441  2286.209819  1962.253542  6451.805803
 2967.443618  2239.809492  2032.515925  7239.769036
 2717.518354  2216.345498  1994.878415  6928.742268
 2687.359407  2306.618844  2132.132413  7126.110664
 2752.529692  2263.525055  2087.241185  7103.295931
 2708.989461  2168.996213  2206.582720  7084.568394
 2935.767669  2080.906567  2198.720074  7215.394310
 2621.012228  2245.589639  1966.772558  6833.374425
 2660.702258  2190.684487  2083.277006  6934.663751
 2497.361226  2232.601369  2130.699876  6860.662470
 2460.929502  2167.932945  2183.435217  6812.297665
 2227.516524  2204.703930  1954.479743  6386.700197
 2582.995249  2254.582526  2216.115035  7053.692810
 2675.279181  2176.050212  2099.777158  6951.106552
 2696.563638  2191.842993  2077.419275  6965.825907
 2556.451796  2223.141410  2101.036319  6880.629524
 2726.682747  2119.117573  2203.537061  7049.337381
 2616.173810  2145.669966  2158.777742  6920.621518
 2789.779900  2221.983196  2045.387434  7057.150529
 2960.431228  2109.958099  2169.717930  7240.107257
 2791.755581  2158.796198  2141.707552  7092.259332
 2881.299642  2132.663382  2089.792593  7103.755616
 3247.703518  2036.030694  1977.411971  7261.146183
 2874.977521  2076.391108  2139.842662  7091.211291
 3208.600012  2065.407873  2030.534441  7304.542326
 2694.369371  2199.734293  2073.124309  6967.227973
 2927.562203  2220.251396  2082.417833  7230.231432
 2683.016046  2237.529786  2006.390910  6926.936741
 2873.613680  2102.484132  1989.415674  6965.513486
 2566.822203  2225.575058  2241.841282  7034.238542
 2441.965024  2236.172065  2097.261220  6775.398309
 2767.837762  2211.327008  2065.908783  7045.073553
 2723.526126  2163.351407  2129.470315  7016.347848
 2985.186519  2081.257820  1945.065106  7011.509445
 2888.088836  2120.515577  2043.187871  7051.792284
 3133.377250  2047.687822  2006.855172  7187.920244
 3205.476097  2051.084179  2070.933159  7327.493435
 3015.088492  2082.478717  2021.347734  7118.914943
 2743.639346  2268.713892  2043.507312  7055.860551
 2726.089435  2006.500191  2234.810029  6967.399655
 3171.355620  1941.977405  2104.690825  7218.023850
 2457.861960  2220.025564  2105.422763  6783.310287
 2967.965725  2095.058125  1960.433709  7023.457558
 2462.952687  2386.182022  2042.271873  6891.406581
 2600.624842  2219.251419  2105.953694  6925.829955
 2907.025637  2119.402337  2058.773887  7085.201860
 2804.061931  2181.262221  2069.361135  7054.685287
 2823.373282  2174.346120  2152.950086  7150.669488
 2586.572793  2129.789135  2072.977680  6789.339608
 2800.635455  2222.993146  2076.033225  7099.661826
 2751.255635  2204.824361  1982.080501  6938.160498
 2909.355636  2083.036680  2200.492085  7192.884401
 2914.693512  2063.664175  2106.250246  7084.607934
 2813.232217  2198.479691  2042.961741  7054.673649
 3116.558408  2051.395776  2079.524368  7247.478553
 2939.708153  2189.066182  2084.969696  7213.744031
 3025.598289  2183.011472  2106.833461  7315.443221
 2833.112475  2187.046829  2166.181042  7186.340346
 2977.514715  2029.171052  2165.375359  7172.061126
 2642.377104  2188.701636  1961.353966  6792.432707
 2773.061639  2177.677974  2151.059230  7101.798843
 2992.279555  2070.611090  1897.079461  6959.970106
 2601.058102  2205.246455  2002.848271  6809.152828
 2801.103510  2160.867921  2046.750134  7008.721565
 3061.662652  2010.452881  2023.089067  7095.204601
 2947.859955  2079.807296  2015.803706  7043.470956
 3035.591101  2105.446974  1800.930500  6941.968575
 2929.848395  2178.298148  2047.064771  7155.211314
 3055.165810  2213.273643  1706.383191  6974.822643
 2552.530493  2293.453895  2098.827698  6944.812086
 2487.086899  2316.886766  2056.277155  6860.250819
 2577.683133  2269.171309  2113.079608  6959.934051
 2647.078068  2164.387560  1972.853670  6784.319298
 2652.688507  2061.842148  2101.635382  6816.166038
 3041.258742  2081.192756  2160.208741  7282.660239
 2854.946933  2152.590128  2065.410074  7072.947135
 2588.932989  2142.661841  2136.200786  6867.795617
 2577.471768  2196.492860  1939.166490  6713.131118
 2879.921925  2204.488660  2086.134887  7170.545472
 2492.208325  2077.278914  2238.601555  6808.088795
 2837.947004  2193.091056  2068.470144  7099.508204
 2917.209251  2064.162048  2060.730868  7042.102168
