# Base  Sugar  Phosphate  Total
 2207.518009  2400.924018  2301.632936  6910.074962
 2140.227922  2393.887767  2117.525588  6651.641277
 2445.204053  2349.278159  2281.616263  7076.098475
 2981.689994  2053.635635  2119.930770  7155.256399
 2427.031467  2353.420211  2180.513657  6960.965334
 2671.669768  2223.332821  2098.945319  6993.947908
 2963.696317  2239.862741  2064.664492  7268.223550
 3084.133631  2165.026028  2065.478826  7314.638484
 3198.384913  2199.553781  2116.474926  7514.413620
 2891.181230  2241.266800  2215.777795  7348.225824
 2638.385500  2195.050054  2097.899681  6931.335234
 3036.154885  2141.572567  2218.319280  7396.046732
 2535.997126  2377.180309  2192.369709  7105.547145
 2178.431150  2302.984764  2263.735373  6745.151287
 2843.575682  2203.312838  2241.980430  7288.868949
 2448.011497  2272.558219  2152.305526  6872.875243
 2656.989267  2318.024826  2144.989745  7120.003838
 2548.175551  2191.137412  2179.938592  6919.251554
 3038.500807  2227.614263  2115.393628  7381.508698
 2596.267593  2322.315940  2173.636884  7092.220417
 2970.016287  2264.507348  2123.096467  7357.620102
 2759.241471  2206.243087  2240.202712  7205.687270
 2717.033987  2231.134776  2177.710373  7125.879136
 3028.861237  2054.409200  2156.123949  7239.394386
 3185.673276  2182.325113  2066.691137  7434.689526
 3179.429313  2230.879163  2220.419835  7630.728311
 2929.095337  2279.157543  2234.940313  7443.193193
 2763.219789  2359.744236  2176.018207  7298.982232
 2729.075605  2084.314756  2190.940122  7004.330482
 3198.365217  2206.535500  2116.825137  7521.725854
 2691.949492  2259.337517  2203.162647  7154.449656
 2922.231341  2041.661198  2066.248553  7030.141091
 3091.138976  2195.600822  2126.112408  7412.852206
 2957.062935  2227.125289  2101.964730  7286.152954
 2877.538637  2272.992187  2187.893285  7338.424108
 2688.018309  2245.747972  2152.866309  7086.632590
 2337.770315  2352.635455  2163.519858  6853.925628
 2405.033971  2335.316744  2169.606659  6909.957374
 2387.221306  2374.593410  2280.665683  7042.480399
 2771.477958  2269.142766  2201.057663  7241.678387
 2701.605277  2241.717474  2305.642924  7248.965675
 2951.778186  2224.796969  2156.765328  7333.340483
 2999.974527  2181.667239  2168.502800  7350.144566
 2590.792665  2300.441154  2129.111794  7020.345614
 2504.097331  2272.457672  2083.826284  6860.381288
 2476.108251  2258.158832  2301.373703  7035.640786
 2034.756561  2449.550835  2208.349699  6692.657095
 2389.576756  2339.498896  2224.892543  6953.968196
 2446.665325  2217.245996  2351.315554  7015.226875
 2740.014273  2327.580909  2220.427315  7288.022497
 2336.675941  2376.842280  2225.790411  6939.308632
 2597.409269  2327.248894  2049.107448  6973.765611
 2485.399128  2319.448919  2171.103170  6975.951217
 3065.693178  2159.235897  2066.235126  7291.164201
 2684.647138  2177.222059  2237.154103  7099.023300
 3033.663451  2248.194319  2203.091892  7484.949661
 2713.808154  2259.592074  2164.419084  7137.819313
 2987.272850  2162.426613  2274.909361  7424.608823
 2802.947527  2305.764580  2096.860256  7205.572363
 2961.039191  2292.177556  2189.050478  7442.267225
 2991.985156  2277.034092  2167.107635  7436.126883
 3076.122603  2123.746089  2196.488102  7396.356794
 3058.172065  2236.783872  2059.535668  7354.491604
 2699.859816  2339.029828  2109.994887  7148.884531
 2590.651611  2253.919539  2193.681316  7038.252465
 3211.297976  2293.499292  2032.694419  7537.491687
 2791.133025  2142.779188  2104.612709  7038.524922
 2639.445426  2321.772598  2272.410708  7233.628732
 2896.051290  2200.947250  2135.892001  7232.890540
 2985.089620  2128.404327  2253.010390  7366.504338
 3029.426930  2125.011344  2194.617541  7349.055815
 2802.842246  2203.242764  2103.007029  7109.092039
 2439.540375  2280.404790  2172.773820  6892.718984
 2471.051883  2372.907067  2250.416073  7094.375023
 2445.118668  2429.837386  2216.463125  7091.419180
 2847.984587  2311.598753  2275.932575  7435.515914
 2358.754004  2341.743017  2215.808088  6916.305110
 2396.808857  2354.285635  2309.395559  7060.490051
 3204.681346  2188.061118  2258.584786  7651.327249
 3052.287216  2263.350141  2172.776614  7488.413970
 2722.927158  2214.451147  2126.271841  7063.650146
 3229.228048  2121.568593  2177.705526  7528.502167
 2690.384146  2142.243746  2191.440952  7024.068844
 2982.611446  2184.354110  2168.321153  7335.286708
 2789.541947  2257.350413  2121.169361  7168.061721
 2864.714604  2364.940701  2212.763704  7442.419009
 2671.016309  2262.763609  2189.411625  7123.191543
 2902.508186  2075.624885  2108.633402  7086.766473
 2485.932303  2375.804552  2225.923509  7087.660364
 3015.889430  2248.436664  2065.345453  7329.671546
 2595.453768  2204.109353  2243.714691  7043.277812
 2516.596717  2203.165991  2032.787002  6752.549710
 2980.543538  2166.511256  2001.471028  7148.525822
 2550.081730  2256.268319  2295.831855  7102.181903
 2899.746583  2195.495240  2097.049157  7192.290980
 2815.440853  2232.330968  2096.514839  7144.286659
 2377.388804  2337.575317  2270.757498  6985.721619
 2594.686897  2278.962429  2191.607173  7065.256499
 2642.316530  2295.986559  2174.317462  7112.620551
 2757.926120  2192.322778  2148.726612  7098.975510
 2567.626988  2192.439546  2182.936129  6943.002663
 3395.368800  2220.986644  2057.075641  7673.431085
 2845.402219  2344.553510  2066.685382  7256.641111
 3027.879342  2247.589051  2188.723199  7464.191593
 2798.195133  2283.138426  2232.648392  7313.981951
 2572.255462  2274.065152  2201.776855  7048.097470
 2701.972311  2201.223909  2209.984211  7113.180431
 3014.411512  2145.005332  2033.193671  7192.610514
 2931.330456  2222.935009  2262.625699  7416.891164
 2879.598430  2307.366186  2164.362777  7351.327393
 2716.692181  2179.691096  2254.372700  7150.755977
 2912.363363  2129.751004  2331.986564  7374.100931
 2937.012341  2156.688544  2026.575493  7120.276379
 2839.580052  2301.510799  2006.426956  7147.517807
 3212.295419  2238.895017  2147.605480  7598.795916
 3080.919603  2111.723680  2077.309592  7269.952875
 3224.086691  2094.974041  2077.860004  7396.920736
 3042.635727  2137.036773  2203.873757  7383.546256
 2650.936895  2231.756378  2201.638497  7084.331770
 3083.698945  2133.095787  2275.999608  7492.794341
 2848.107043  2141.676903  2220.673092  7210.457038
 2866.109848  2257.259358  2165.851122  7289.220328
 2593.603249  2283.046179  2053.651241  6930.300669
 2814.005953  2248.614595  2191.662308  7254.282856
 2707.382921  2243.816484  2217.691995  7168.891401
 2639.331983  2361.999398  2074.255937  7075.587317
 2816.378178  2248.551304  2069.084329  7134.013811
 2531.667382  2362.939018  2117.611528  7012.217927
 2762.020764  2273.985356  2290.490581  7326.496701
 2897.842449  2182.567830  2076.230916  7156.641194
 2869.623146  2185.856875  2193.312203  7248.792224
 2687.291266  2183.921495  2158.274333  7029.487093
 2950.180765  2279.689588  2161.738021  7391.608374
 2621.223715  2259.114223  2095.884656  6976.222595
 2704.760563  2183.772173  2007.748347  6896.281083
 2807.238285  2214.189550  2116.379057  7137.806892
 2893.292282  2260.531977  2076.495569  7230.319828
 2702.186359  2126.155091  2250.907909  7079.249358
 2754.047476  2079.398714  2073.662762  6907.108952
 2744.294301  2311.712974  2180.814910  7236.822185
 2456.328818  2255.289509  2246.700312  6958.318640
 2315.433147  2160.939579  2286.865098  6763.237824
 2828.991194  2134.898207  2294.254567  7258.143969
 2480.571434  2196.248789  2183.002852  6859.823075
 2846.795825  2302.764887  2201.968365  7351.529077
 2762.556114  2229.231220  2193.935765  7185.723100
 2689.905036  2247.174865  2235.137044  7172.216945
 2861.829197  2146.357784  2229.529727  7237.716708
 2669.506233  2322.761467  2234.433234  7226.700935
 2861.284223  2305.774659  2023.580091  7190.638973
 2511.762839  2318.697522  2138.130123  6968.590484
 2319.474326  2221.835692  2352.196747  6893.506765
 2613.985864  2211.618077  2282.756556  7108.360497
 2511.646104  2307.802853  2389.917101  7209.366058
 2295.723971  2240.519044  2312.880401  6849.123415
 2327.282032  2130.325509  2290.521907  6748.129448
 2307.507600  2308.143502  2331.651559  6947.302660
 2099.464713  2443.865873  2279.171489  6822.502075
 2313.880537  2249.898711  2256.393349  6820.172597
 2606.108367  2239.822975  2236.909962  7082.841304
 2750.011561  2315.820216  2108.034340  7173.866117
 2519.969961  2268.781052  2228.120937  7016.871950
 2543.630148  2238.612695  2264.883014  7047.125857
 2838.105675  2232.681534  2256.821689  7327.608898
 3011.536874  2139.315593  2046.105973  7196.958440
 2842.359194  2210.147932  2089.753136  7142.260261
 2536.033324  2012.928877  1927.939524  6476.901725
 2930.464299  2163.575870  2067.835776  7161.875944
 2346.131040  2367.740472  2113.994579  6827.866091
 2711.147621  2259.827094  2206.140735  7177.115450
 2639.183148  2275.766409  2258.023657  7172.973214
 2692.359210  2169.211007  2128.971224  6990.541441
 2982.542874  2212.538363  2115.596432  7310.677669
 2764.157578  2154.102300  2189.933497  7108.193375
 2883.367604  2064.464224  1885.423325  6833.255154
 2855.559887  2150.525701  2035.354142  7041.439730
 2816.051815  2138.928490  2139.909512  7094.889817
 2840.975302  2315.246011  2142.912155  7299.133469
 2542.610309  2180.180909  2193.698398  6916.489616
 2776.005308  2271.306363  2109.538256  7156.849928
 2935.726540  2217.068426  2248.702218  7401.497184
 2851.514963  2313.656693  2139.314656  7304.486312
 2552.399753  2219.137596  2339.188445  7110.725795
 2452.241477  2261.628917  2252.583892  6966.454285
 2407.987876  2090.346684  2076.709605  6575.044165
 2583.155937  2363.691271  2190.587901  7137.435109
 2964.258093  2211.394105  2291.276068  7466.928266
 2579.581732  2171.811388  2084.649245  6836.042365
 2884.517603  2276.529364  2165.622061  7326.669028
 2591.984895  2398.044147  2147.355758  7137.384799
 2678.450960  2197.613514  2171.233652  7047.298125
 2885.686543  2242.650935  2218.404661  7346.742138
 2604.238986  2280.314962  2251.847500  7136.401448
 2613.250783  2274.187962  2294.269434  7181.708178
 2634.407488  2344.541638  2250.513794  7229.462920
 2700.645262  2228.305266  2115.559322  7044.509850
 2677.328111  2308.014677  2192.125784  7177.468572
 3035.563238  2147.471399  2209.532656  7392.567293
 2891.188582  2149.651503  2136.588115  7177.428200
 2732.775689  2181.013222  2169.968236  7083.757147
 2643.757617  2294.783789  2175.151533  7113.692939
 2700.939671  2169.566353  2283.177006  7153.683030
 2996.369206  2174.203082  2163.316210  7333.888498
 2660.407685  2257.107079  2195.562548  7113.077311
 2814.432155  2232.225781  2213.018092  7259.676029
 2812.919294  2239.389055  2135.730557  7188.038905
 2687.859681  2277.460053  2171.738514  7137.058248
 2550.092682  2284.441133  2184.122198  7018.656012
 2815.061585  2192.260360  2041.836389  7049.158334
 2594.421325  2208.984063  2147.668011  6951.073399
 2247.873468  2265.834585  2353.935765  6867.643818
 2520.980805  2174.442349  2265.570025  6960.993179
 2818.712824  2062.932149  2088.265471  6969.910444
 2779.598487  2195.548551  2232.744035  7207.891073
 2613.771926  2207.821048  2150.776739  6972.369714
 2259.282904  2322.086854  2264.538367  6845.908126
 2173.161294  2335.688842  2193.426151  6702.276286
 2593.407852  2308.557098  2220.583577  7122.548526
 3106.810599  2200.916978  2204.995460  7512.723037
 2320.778986  2296.844583  2252.931594  6870.555163
 2559.248154  2399.913037  2150.615249  7109.776441
 2700.283055  2267.287464  2249.050501  7216.621021
 2784.298926  2345.454486  2191.063446  7320.816857
 3080.304044  2097.575592  2104.708646  7282.588281
 2847.716100  2139.663011  2286.339603  7273.718715
 3042.135891  2096.706002  2118.829868  7257.671761
 2976.000425  2268.990414  2186.412504  7431.403343
 2606.496522  2339.985015  2264.925638  7211.407174
 2778.508957  2283.665080  2205.095915  7267.269951
 2225.484883  2352.235677  2153.174339  6730.894898
 2772.843175  2245.281269  2183.072458  7201.196903
 2751.077432  2132.932791  2200.604935  7084.615157
 2784.896817  2292.978530  2219.323068  7297.198415
 2812.070111  2184.983285  2258.453524  7255.506920
 2589.893907  2217.136167  2143.106121  6950.136195
 2648.377665  2279.688823  2115.153999  7043.220487
 2762.172651  2269.058849  2247.617176  7278.848677
 2719.260930  2311.726038  2136.370758  7167.357726
 2347.698065  2223.934949  2198.469885  6770.102899
 3073.322072  2189.928494  2194.764546  7458.015111
 3109.031018  2117.631077  2255.966982  7482.629077
 2773.449660  2190.333232  2069.720029  7033.502921
 3152.568313  2219.357359  2108.042852  7479.968524
 2838.269479  2174.892750  2363.029826  7376.192055
 2982.310956  2196.514770  2223.044327  7401.870053
 2721.011697  2044.923589  2088.918012  6854.853298
 2867.741194  2168.945786  1924.798688  6961.485669
 3120.866235  2235.898695  2104.887253  7461.652183
 2888.039545  2050.949478  2141.934606  7080.923630
 2613.854280  2275.640272  2149.403341  7038.897893
 3137.291064  2292.298114  2104.055775  7533.644953
 3163.325401  2205.227018  2106.205362  7474.757781
 2726.626986  2195.383834  2082.833593  7004.844414
 3017.312812  2226.899619  2098.712569  7342.925000
 2737.413544  2268.693133  2103.398821  7109.505498
 2830.991178  2218.369527  2247.364659  7296.725363
 2547.142031  2275.262140  2235.303998  7057.708168
 2570.413223  2264.286478  2222.565206  7057.264907
 3065.690432  2216.766255  2139.213162  7421.669848
 2586.805539  2283.662987  2198.527392  7068.995918
 2411.606563  2234.379254  2305.418381  6951.404198
 2391.626640  2319.849021  2341.103019  7052.578679
 2809.486438  2236.568938  2295.211963  7341.267339
 2406.104379  2379.885697  2216.575874  7002.565949
 2698.751029  2255.845488  2165.203975  7119.800492
 2540.800102  2354.563549  2156.377862  7051.741514
 2279.136593  2241.691272  2188.690650  6709.518516
 2605.663322  2223.533502  2325.741872  7154.938696
 2598.210899  2246.986974  2290.333140  7135.531013
 3197.795302  2250.320115  2166.186372  7614.301789
 2524.551229  2164.648386  2237.692116  6926.891730
 2680.488765  2202.652786  2310.802966  7193.944517
 2636.904556  2279.233004  2088.880975  7005.018534
 3089.869970  2186.923043  2160.986664  7437.779677
 2612.927565  2314.595598  2195.857699  7123.380861
 2680.250421  2140.133689  2123.752990  6944.137099
 2520.284117  2300.593686  2096.618766  6917.496570
 2777.960968  2142.389127  2265.751937  7186.102031
 3037.579157  2210.971492  2165.396200  7413.946849
 2466.281651  2076.255285  2089.989992  6632.526928
 2942.494876  2116.051090  2038.022902  7096.568868
 2823.537183  2233.572572  2118.555740  7175.665495
 2859.500938  2248.695982  2288.019176  7396.216096
